# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	25487
#@/user_id	08739937-06a1-48ea-b483-a1d82a4c18b3
Epsilon 	Ε	c=1 d=1.21929e-09 t=25487
xing bu xing 	行不行	c=1 d=7.37226e-32 t=25487
xing cheng 	形成	c=1 d=1.22915e-45 t=25487
xing ge 	性格	c=1 d=1.30047e-32 t=25487
xing ku 	幸苦	c=1 d=9.91365e-46 t=25487
xing le 	行了	c=3 d=0.0011477 t=25487
xing le 	醒了	c=4 d=4.64369e-06 t=25487
xing ma 	行吗	c=10 d=1.60608e-15 t=25487
xing neng 	性能	c=1 d=1.14372e-21 t=25487
xing tou 	行头	c=1 d=4.07748e-35 t=25487
xing wei 	行为	c=2 d=3.38707e-29 t=25487
xing yao 	星曜	c=0 d=0.0412714 t=25487
xing yao lu 	星曜路	c=2 d=0.891897 t=25487
xing zhuang 	形状	c=1 d=3.05788e-32 t=25487
xing zhuang 	星状	c=0 d=4.45919e-30 t=25487
xing zhuang tu 	星状图	c=1 d=4.48155e-29 t=25487
xiong 	兄	c=1 d=1.83812e-44 t=25487
xiong 	凶	c=1 d=0.0608101 t=25487
xiong 	熊	c=1 d=0.000141955 t=25487
xiong dong 	熊东	c=0 d=2.80967e-37 t=25487
xiong dong yan 	熊东彦	c=1 d=2.82375e-36 t=25487
xiong mei 	兄妹	c=1 d=6.94528e-36 t=25487
xiu 	修	c=1 d=3.84931e-34 t=25487
xiu 	秀	c=1 d=2.38229e-36 t=25487
xiu fu 	修复	c=2 d=9.01549e-17 t=25487
xiu gai 	修改	c=8 d=6.75852e-13 t=25487
xiu shi 	修饰	c=1 d=2.15258e-49 t=25487
xiu tan 	嗅探	c=1 d=1.0596e-34 t=25487
xiu xi 	休息	c=3 d=0.00883062 t=25487
xiu yang 	修养	c=1 d=8.72322e-41 t=25487
xu 	徐	c=1 d=1.96806e-24 t=25487
xu 	须	c=1 d=5.49167e-38 t=25487
xu ke zheng 	许可证	c=0 d=9.48257e-24 t=25487
xu lie 	序列	c=31 d=0.00648043 t=25487
xu lie ming 	序列名	c=2 d=6.48037e-15 t=25487
xu m 	xum	c=1 d=6.75747e-37 t=25487
xu meng 	徐孟	c=31 d=0.0650798 t=25487
xu meng fan 	徐孟凡	c=1 d=2.85911e-06 t=25487
xu mu ye 	畜牧业	c=1 d=7.19413e-09 t=25487
xu ni ji 	虚拟机	c=1 d=0.000867409 t=25487
xu qiu 	需求	c=1 d=2.74794e-10 t=25487
xu xian 	虚线	c=3 d=1.13807e-31 t=25487
xu yao 	需要	c=51 d=6.74118e-05 t=25487
xuan 	选	c=2 d=2.31472e-21 t=25487
xuan er wei jue 	悬而未决	c=1 d=0.16696 t=25487
xuan gua 	悬挂	c=1 d=7.53553e-25 t=25487
xuan yao 	炫耀	c=1 d=7.85398e-12 t=25487
xuan ze 	选择	c=9 d=0.00712464 t=25487
xuan zhong 	选中	c=2 d=2.4729e-28 t=25487
xue 	学	c=12 d=2.68337e-24 t=25487
xue 	薛	c=4 d=1.2976e-06 t=25487
xue 	雪	c=0 d=3.54732e-15 t=25487
xue dao 	学到	c=2 d=3.28753e-31 t=25487
xue de 	学的	c=2 d=1.12069e-17 t=25487
xue heng 	薛恒	c=2 d=0.269821 t=25487
xue ke 	学科	c=1 d=4.96654e-32 t=25487
xue lang 	薛郎	c=1 d=2.64055e-41 t=25487
xue qi 	学期	c=1 d=0.15259 t=25487
xue qing 	血清	c=1 d=1.19885e-16 t=25487
xue ren gui 	薛仁贵	c=3 d=4.32241e-36 t=25487
xue sheng 	学生	c=9 d=0.000308459 t=25487
xue sheng qun 	学生群	c=2 d=1.16238e-35 t=25487
xue shi 	学士	c=2 d=1.67698e-37 t=25487
xue shu 	学术	c=1 d=4.3177e-32 t=25487
xue tu 	雪兔	c=2 d=4.16493e-20 t=25487
xue wang 	雪王	c=1 d=1.39405e-26 t=25487
xue wei 	学位	c=4 d=1.57983e-18 t=25487
xue wei lun wen 	学位论文	c=1 d=5.15062e-19 t=25487
xue xi 	学习	c=15 d=0.00311976 t=25487
xue xue 	学学	c=2 d=2.78263e-32 t=25487
xue yang 	学杨	c=1 d=5.2909e-41 t=25487
xue zhi 	学制	c=1 d=9.37865e-11 t=25487
xun 	寻	c=1 d=1.72426e-27 t=25487
xun chang 	寻常	c=1 d=7.64029e-11 t=25487
xun huan 	循环	c=0 d=2.04587e-40 t=25487
xun huan shu 	循环数	c=1 d=2.05611e-39 t=25487
xun hui sheng 	荀慧生	c=1 d=4.37536e-41 t=25487
xun lian 	训练	c=1 d=5.88185e-23 t=25487
ya 	亚	c=1 d=2.3602e-44 t=25487
ya 	呀	c=19 d=0.425373 t=25487
ya 	雅	c=1 d=8.80668e-06 t=25487
ya ji xing 	亚急性	c=1 d=1.28643e-22 t=25487
ya suo 	压缩	c=1 d=1.23961e-27 t=25487
ya suo bao 	压缩包	c=1 d=1.52269e-35 t=25487
ya xing 	亚型	c=10 d=4.94043e-45 t=25487
yan 	彦	c=0 d=2.80967e-37 t=25487
yan 	眼	c=0 d=9.67415e-24 t=25487
yan 	言	c=1 d=9.47129e-09 t=25487
yan 	闫	c=4 d=7.63639e-05 t=25487
yan ba qian 	眼巴前	c=1 d=1.15963e-07 t=25487
yan chang 	演唱	c=1 d=3.75491e-36 t=25487
yan chi 	延迟	c=1 d=3.07698e-17 t=25487
yan chu 	演出	c=1 d=1.57286e-34 t=25487
yan ci ji 	眼刺激	c=1 d=9.72265e-23 t=25487
yan dan she 	言耽社	c=1 d=9.42406e-09 t=25487
yan du 	验毒	c=1 d=2.5612e-35 t=25487
yan fa 	研发	c=1 d=9.26264e-41 t=25487
yan ge 	严格	c=1 d=2.1619e-41 t=25487
yan huan 	延缓	c=1 d=0.00185476 t=25487
yan jiang zhe 	演讲者	c=1 d=5.75754e-06 t=25487
yan jing 	眼镜	c=1 d=3.87202e-15 t=25487
yan jiu 	研究	c=32 d=3.66954e-18 t=25487
yan jiu sheng 	研究生	c=0 d=3.12783e-05 t=25487
yan jiu sheng chu 	研究生处	c=1 d=0.000314351 t=25487
yan jiu suo 	研究所	c=4 d=0.000402409 t=25487
yan kan 	眼看	c=1 d=2.83751e-05 t=25487
yan li 	眼里	c=1 d=7.98924e-07 t=25487
yan san 	研三	c=1 d=6.67983e-48 t=25487
yan se 	颜色	c=13 d=1.15553e-24 t=25487
yan sha 	演啥	c=1 d=3.28295e-44 t=25487
yan shi 	演示	c=1 d=5.20947e-35 t=25487
yan shi zi 	咽拭子	c=5 d=2.21595e-08 t=25487
yan wen zi 	颜文字	c=1 d=1.04945e-09 t=25487
yan yi 	闫艺	c=6 d=1.39191e-08 t=25487
yan yuan 	演员	c=2 d=8.54112e-32 t=25487
yan yun bang 	验孕棒	c=1 d=0.00548905 t=25487
yan zheng 	验证	c=6 d=5.72267e-09 t=25487
yan zheng ma 	验证码	c=3 d=0.0316714 t=25487
yan zhong 	严重	c=9 d=0.0154262 t=25487
yang 	杨	c=3 d=0.000155323 t=25487
yang 	样	c=9 d=5.282e-12 t=25487
yang 	羊	c=0 d=5.23754e-11 t=25487
yang ben 	样本	c=88 d=0.0481451 t=25487
yang bo 	杨伯	c=0 d=5.79822e-31 t=25487
yang bo long 	杨伯龙	c=1 d=5.82731e-30 t=25487
yang jia jiang 	杨家将	c=1 d=6.6282e-45 t=25487
yang lao 	养老	c=2 d=2.03531e-07 t=25487
yang liu lang 	杨六郎	c=1 d=6.79593e-45 t=25487
yang men nv jiang 	杨门女将	c=2 d=1.88432e-34 t=25487
yang pai 	杨派	c=1 d=3.43768e-27 t=25487
yang pin 	样品	c=4 d=7.10924e-27 t=25487
yang rou 	羊肉	c=1 d=7.33797e-36 t=25487
yang rou tang 	羊肉汤	c=1 d=7.22872e-36 t=25487
yang tang 	羊汤	c=1 d=5.52014e-40 t=25487
yang wen 	杨文	c=0 d=3.54732e-15 t=25487
yang wen xue 	杨文雪	c=3 d=0.0144799 t=25487
yang xian sheng 	杨先生	c=2 d=4.39744e-12 t=25487
yang xiao lou 	杨小楼	c=2 d=9.09514e-41 t=25487
yang xing 	阳性	c=4 d=1.13913e-16 t=25487
yang xing lv 	阳性率	c=1 d=1.14038e-16 t=25487
yang yu 	洋芋	c=1 d=4.42776e-34 t=25487
yang zi 	样子	c=3 d=1.41074e-13 t=25487
yao 	药	c=2 d=0.278037 t=25487
yao 	要	c=50 d=0.252791 t=25487
yao ban 	要搬	c=1 d=0.00176431 t=25487
yao bi 	要比	c=1 d=1.29419e-34 t=25487
yao bu 	要不	c=11 d=9.40673e-09 t=25487
yao bu yao 	要不要	c=3 d=3.06903e-16 t=25487
yao chi 	要吃	c=2 d=3.17338e-27 t=25487
yao fang 	要房	c=1 d=1.30095e-07 t=25487
yao feng 	要疯	c=1 d=6.31156e-28 t=25487
yao guo 	要过	c=1 d=7.41555e-42 t=25487
yao guo 	要锅	c=1 d=2.54627e-25 t=25487
yao he 	要喝	c=0 d=4.77261e-35 t=25487
yao he sha 	要喝啥	c=1 d=4.79654e-34 t=25487
yao kan 	要看	c=1 d=8.21101e-35 t=25487
yao le 	要了	c=2 d=2.37291e-19 t=25487
yao ming 	要命	c=2 d=3.61658e-25 t=25487
yao qing 	邀请	c=0 d=5.37287e-17 t=25487
yao qing le 	邀请了	c=1 d=5.39979e-16 t=25487
yao qiu 	要求	c=5 d=4.87167e-11 t=25487
yao qu 	要去	c=2 d=0.00158052 t=25487
yao shi 	要是	c=11 d=2.21456e-07 t=25487
yao shi kou 	钥匙扣	c=1 d=1.31086e-08 t=25487
yao shou 	要收	c=1 d=6.82536e-37 t=25487
yao shui juan 	姚水娟	c=1 d=9.12037e-06 t=25487
yao wang 	药王	c=1 d=6.84071e-34 t=25487
yao wei 	腰围	c=1 d=2.62784e-43 t=25487
yao wo 	要我	c=1 d=1.1538e-36 t=25487
yao wu 	药物	c=3 d=0.0330412 t=25487
yao xie 	要写	c=1 d=4.60324e-43 t=25487
yao yong 	要用	c=1 d=9.89345e-22 t=25487
yao you 	要有	c=1 d=1.06639e-21 t=25487
yao zai 	要在	c=1 d=9.64916e-22 t=25487
yao zao 	要糟	c=1 d=8.94587e-14 t=25487
yao zi 	腰子	c=1 d=0.177284 t=25487
ye 	也	c=78 d=0.621028 t=25487
ye 	液	c=1 d=3.1751e-05 t=25487
ye 	爷	c=1 d=1.05964e-05 t=25487
ye 	页	c=12 d=4.66853e-20 t=25487
ye bu 	也不	c=1 d=2.77452e-35 t=25487
ye bu duo 	也不多	c=1 d=7.73681e-41 t=25487
ye bu ke yi 	也不可以	c=1 d=5.80317e-40 t=25487
ye bu neng 	也不能	c=1 d=1.79647e-39 t=25487
ye bu ru 	也不如	c=1 d=7.35947e-41 t=25487
ye bu shi 	也不是	c=3 d=6.03813e-07 t=25487
ye bu zhi dao 	也不知道	c=1 d=0.00140883 t=25487
ye de 	也得	c=3 d=9.26766e-18 t=25487
ye dui 	也对	c=3 d=0.392601 t=25487
ye hai 	也还	c=1 d=1.38136e-36 t=25487
ye hai hao 	也还好	c=1 d=9.78135e-35 t=25487
ye hao 	也好	c=4 d=3.04501e-13 t=25487
ye hui 	也会	c=2 d=0.0488012 t=25487
ye jian 	夜间	c=1 d=1.36598e-22 t=25487
ye jin 	也近	c=1 d=1.37143e-10 t=25487
ye jiu 	也就	c=4 d=8.54613e-35 t=25487
ye jiu shi 	也就是	c=3 d=1.0471e-12 t=25487
ye ke 	也可	c=1 d=1.0609e-19 t=25487
ye ke yi 	也可以	c=1 d=8.93796e-33 t=25487
ye kuai le 	也快了	c=1 d=3.68946e-35 t=25487
ye mei 	也没	c=8 d=0.00172074 t=25487
ye mei sha 	也没啥	c=2 d=1.81086e-44 t=25487
ye mei yong 	也没用	c=1 d=3.94944e-42 t=25487
ye men 	爷们	c=1 d=9.97928e-06 t=25487
ye mian 	页面	c=1 d=9.71271e-11 t=25487
ye pi 	也皮	c=1 d=1.02845e-36 t=25487
ye qu 	也去	c=1 d=4.27328e-28 t=25487
ye que shi 	也确实	c=1 d=2.95271e-32 t=25487
ye sheng 	野生	c=1 d=7.82016e-20 t=25487
ye shi 	也是	c=29 d=1.2966e-06 t=25487
ye shi wo 	也是我	c=1 d=2.47101e-25 t=25487
ye suan 	也算	c=3 d=3.50457e-22 t=25487
ye xiang 	也想	c=3 d=3.22364e-06 t=25487
ye xing 	也行	c=9 d=2.06147e-07 t=25487
ye xu 	也许	c=1 d=2.93349e-14 t=25487
ye yao 	也要	c=4 d=2.07219e-13 t=25487
ye ying gai 	也应该	c=1 d=5.85969e-07 t=25487
ye you 	也有	c=7 d=0.000139817 t=25487
ye zai 	也在	c=3 d=7.55687e-34 t=25487
ye zhu 	野猪	c=4 d=2.51033e-45 t=25487
yi 	一	c=4 d=7.28524e-10 t=25487
yi 	义	c=1 d=7.40922e-32 t=25487
yi 	以	c=11 d=1.51781e-10 t=25487
yi 	咦	c=2 d=0.00225411 t=25487
yi 	已	c=1 d=9.47909e-48 t=25487
yi 	易	c=1 d=4.30875e-37 t=25487
yi 	艺	c=2 d=5.05038e-36 t=25487
yi an zhuang 	已安装	c=3 d=5.74561e-11 t=25487
yi ban 	一半	c=1 d=4.35131e-35 t=25487
yi ban 	一般	c=11 d=5.35551e-07 t=25487
yi ban er yan 	一般而言	c=1 d=9.62069e-46 t=25487
yi bao 	一包	c=1 d=7.50455e-06 t=25487
yi bei zi 	一辈子	c=2 d=9.52039e-11 t=25487
yi bi gou xiao 	一笔勾销	c=1 d=5.27651e-09 t=25487
yi bian 	一遍	c=10 d=5.06216e-20 t=25487
yi bian 	以便	c=3 d=4.021e-18 t=25487
yi bu 	一步	c=1 d=9.88166e-08 t=25487
yi bu fen 	一部分	c=4 d=3.82425e-16 t=25487
yi ceng 	一层	c=1 d=5.65604e-32 t=25487
yi cha 	一查	c=1 d=0.00212284 t=25487
yi chang 	一场	c=1 d=7.03804e-45 t=25487
yi chang 	宜昌	c=1 d=8.10695e-32 t=25487
yi chang 	异常	c=2 d=1.40719e-47 t=25487
yi chang yi duan 	一长一短	c=1 d=1.08384e-06 t=25487
yi chu 	一出	c=0 d=2.20452e-07 t=25487
yi chu 	益处	c=1 d=1.26332e-44 t=25487
yi chu xian 	一出现	c=1 d=2.21557e-06 t=25487
yi chuan 	遗传	c=2 d=9.38821e-24 t=25487
yi chuan jie gou 	遗传结构	c=1 d=9.43528e-23 t=25487
yi chuan xue 	遗传学	c=0 d=1.92305e-47 t=25487
yi chuang 	一床	c=1 d=0.169483 t=25487
yi ci 	一次	c=6 d=1.77383e-09 t=25487
yi da pi 	一大批	c=1 d=4.3943e-33 t=25487
yi da zao 	一大早	c=1 d=1.14512e-06 t=25487
yi dai 	一代	c=7 d=3.36094e-13 t=25487
yi dai ce xu 	一代测序	c=1 d=3.37374e-12 t=25487
yi dan 	一旦	c=1 d=1.1947e-34 t=25487
yi dao 	一道	c=1 d=1.96637e-14 t=25487
yi dian 	一点	c=10 d=0.00117088 t=25487
yi ding yao 	一定要	c=1 d=1.14907e-17 t=25487
yi du 	一睹	c=1 d=0.0393602 t=25487
yi duan 	一段	c=7 d=4.25634e-12 t=25487
yi dui 	一对	c=1 d=9.18636e-32 t=25487
yi fang 	一方	c=0 d=1.05816e-19 t=25487
yi fang mian 	一方面	c=1 d=4.05231e-21 t=25487
yi fang wan yi 	以防万一	c=1 d=0.25284 t=25487
yi fen 	一份	c=1 d=1.78814e-35 t=25487
yi fu 	衣服	c=2 d=0.0541064 t=25487
yi gai 	一概	c=1 d=8.05253e-41 t=25487
yi ge 	一个	c=55 d=0.225505 t=25487
yi ge duo 	以个多	c=1 d=6.96468e-10 t=25487
yi ge ren 	一个人	c=8 d=5.06909e-16 t=25487
yi ge yang 	一个样	c=1 d=3.39758e-36 t=25487
yi ge yue 	一个月	c=4 d=0.00166159 t=25487
yi gen 	一根	c=1 d=1.02389e-13 t=25487
yi gong 	一共	c=2 d=4.16934e-46 t=25487
yi hao 	一号	c=1 d=1.04564e-25 t=25487
yi hou 	以后	c=4 d=1.47687e-16 t=25487
yi hui 	一会	c=2 d=2.15963e-25 t=25487
yi hui er 	一会儿	c=7 d=0.0429966 t=25487
yi ji 	以及	c=18 d=5.74463e-09 t=25487
yi jia 	一加	c=11 d=6.88224e-17 t=25487
yi jia 	衣架	c=2 d=0.0577488 t=25487
yi jia ren 	一家人	c=1 d=1.33779e-12 t=25487
yi jian 	一件	c=1 d=8.79442e-19 t=25487
yi jian 	一见	c=1 d=0.00484407 t=25487
yi jian 	意见	c=4 d=3.49142e-33 t=25487
yi jian de 	意见的	c=1 d=2.86544e-32 t=25487
yi jian shi 	一件事	c=1 d=2.32269e-32 t=25487
yi jin 	衣襟	c=1 d=3.72083e-17 t=25487
yi jing 	已经	c=54 d=0.358803 t=25487
yi ju 	一句	c=2 d=3.22134e-27 t=25487
yi ju 	依据	c=1 d=3.41577e-40 t=25487
yi ju hua 	一句话	c=1 d=1.27893e-12 t=25487
yi ke 	一颗	c=1 d=2.95935e-29 t=25487
yi ke da xue 	医科大学	c=1 d=7.99034e-38 t=25487
yi kou 	一口	c=1 d=0.369724 t=25487
yi kuai 	一块	c=4 d=0.857437 t=25487
yi lei 	一类	c=1 d=4.36407e-40 t=25487
yi li 	一例	c=1 d=3.00826e-16 t=25487
yi lian 	一脸	c=0 d=0.00608101 t=25487
yi liang ge 	一两个	c=1 d=4.70971e-25 t=25487
yi lie 	一列	c=3 d=5.75817e-35 t=25487
yi lie shu 	一列数	c=1 d=8.31496e-36 t=25487
yi lu 	一路	c=1 d=1.84037e-29 t=25487
yi men 	一门	c=2 d=2.25911e-29 t=25487
yi miao 	疫苗	c=2 d=1.20845e-20 t=25487
yi pai 	已拍	c=1 d=5.29287e-16 t=25487
yi pan 	一盘	c=0 d=1.76005e-05 t=25487
yi pi 	一批	c=7 d=3.27514e-16 t=25487
yi pian 	一篇	c=5 d=1.63537e-22 t=25487
yi qi 	一起	c=23 d=0.000483871 t=25487
yi qi 	以期	c=1 d=3.86333e-18 t=25487
yi qi 	仪器	c=14 d=8.20377e-18 t=25487
yi qi qu 	一起去	c=1 d=2.99794e-05 t=25487
yi qian 	以前	c=1 d=3.40174e-21 t=25487
yi qing 	疫情	c=5 d=1.82336e-08 t=25487
yi qu 	一去	c=1 d=1.90729e-08 t=25487
yi ran 	依然	c=1 d=5.6307e-38 t=25487
yi ren 	一人	c=2 d=1.35361e-35 t=25487
yi ru 	一如	c=1 d=0.0599047 t=25487
yi shang 	以上	c=3 d=1.61745e-10 t=25487
yi sheng 	一声	c=2 d=1.16002e-11 t=25487
yi sheng 	医生	c=1 d=2.08109e-34 t=25487
yi shi 	一试	c=1 d=2.36679e-18 t=25487
yi shi 	意识	c=1 d=7.50815e-41 t=25487
yi shi liang fen 	一式两份	c=1 d=1.17427e-37 t=25487
yi shu 	艺术	c=2 d=3.59847e-06 t=25487
yi shuang 	一双	c=1 d=1.09473e-06 t=25487
yi shuo 	一说	c=1 d=5.18613e-41 t=25487
yi si 	意思	c=20 d=0.0826342 t=25487
yi tang 	一趟	c=4 d=4.79832e-09 t=25487
yi ti 	一提	c=1 d=1.41267e-35 t=25487
yi tian 	一天	c=6 d=0.00065558 t=25487
yi tiao 	一条	c=2 d=2.32552e-17 t=25487
yi tiao 	一跳	c=4 d=2.01163e-17 t=25487
yi tou 	已投	c=2 d=2.9916e-35 t=25487
yi tou niu 	一头牛	c=1 d=0.0192547 t=25487
yi wai 	意外	c=1 d=3.32464e-16 t=25487
yi wei 	一位	c=1 d=1.75121e-33 t=25487
yi wei 	以为	c=6 d=0.0043217 t=25487
yi wei zhe 	意味着	c=1 d=0.00506703 t=25487
yi wen 	一问	c=1 d=2.74692e-35 t=25487
yi wen 	疑问	c=1 d=2.23434e-17 t=25487
yi xi lie 	一系列	c=1 d=1.2015e-42 t=25487
yi xia 	一下	c=126 d=0.814788 t=25487
yi xia 	以下	c=1 d=1.70827e-35 t=25487
yi xia zi 	一下子	c=1 d=2.82864e-27 t=25487
yi xiang 	一项	c=1 d=3.22573e-43 t=25487
yi xiang ru ci 	一向如此	c=1 d=1.05978e-36 t=25487
yi xie 	一些	c=24 d=6.93774e-05 t=25487
yi xiu 	一宿	c=1 d=0.000845992 t=25487
yi xue 	医学	c=1 d=9.69229e-45 t=25487
yi yan 	义演	c=1 d=6.20596e-06 t=25487
yi yan nan jin 	一言难尽	c=1 d=3.79277e-07 t=25487
yi yang 	一样	c=12 d=1.01402e-07 t=25487
yi ye 	一页	c=1 d=5.86667e-21 t=25487
yi yi 	意义	c=6 d=1.32218e-21 t=25487
yi yuan 	医院	c=8 d=1.33503e-17 t=25487
yi zhi 	一直	c=7 d=1.30814e-13 t=25487
yi zhi xing 	一致性	c=8 d=0.00635297 t=25487
yi zhong 	一种	c=2 d=4.15631e-25 t=25487
yi zi 	一字	c=0 d=1.88337e-37 t=25487
yi zi ban 	一字板	c=1 d=1.89281e-36 t=25487
yi zui 	一嘴	c=1 d=3.33847e-06 t=25487
yi zuo 	一作	c=1 d=1.32012e-32 t=25487
yi zuo 	一做	c=1 d=1.05942e-32 t=25487
yin 	因	c=6 d=1.99297e-25 t=25487
yin 	阴	c=0 d=1.77986e-19 t=25487
yin 	音	c=0 d=5.43611e-37 t=25487
yin cang 	隐藏	c=2 d=8.40847e-36 t=25487
yin ci 	因此	c=6 d=3.60404e-38 t=25487
yin dao 	阴道	c=2 d=2.04249e-22 t=25487
yin gui fang 	尹桂芳	c=1 d=7.46308e-29 t=25487
yin hui 	隐晦	c=1 d=1.71654e-33 t=25487
yin liao 	饮料	c=1 d=4.63155e-34 t=25487
yin pai 	尹派	c=1 d=6.73659e-30 t=25487
yin pin 	音频	c=3 d=5.99317e-06 t=25487
yin qi 	引起	c=11 d=4.87581e-21 t=25487
yin qing 	引擎	c=2 d=6.7809e-11 t=25487
yin wei 	因为	c=19 d=4.92064e-12 t=25487
yin wu 	引物	c=11 d=9.51553e-05 t=25487
yin xiang 	印象	c=1 d=1.81575e-47 t=25487
yin xing 	阴性	c=1 d=1.70038e-10 t=25487
yin yong 	引用	c=5 d=2.81453e-27 t=25487
yin yue 	音乐	c=2 d=6.84909e-19 t=25487
yin zhang 	印章	c=1 d=7.24742e-37 t=25487
yin zi 	因子	c=3 d=5.52847e-32 t=25487
yin zi 	银子	c=1 d=0.68045 t=25487
ying 	颖	c=1 d=0.062662 t=25487
ying di 	影帝	c=1 d=8.65611e-09 t=25487
ying gai 	应该	c=52 d=0.545474 t=25487
ying gai shi 	应该是	c=2 d=5.2249e-11 t=25487
ying guang 	荧光	c=3 d=3.20322e-19 t=25487
ying guang shi shi ding liang 	荧光试试定量	c=1 d=2.81597e-33 t=25487
ying wen 	英文	c=29 d=2.09162e-05 t=25487
ying xiang 	影响	c=7 d=0.000191371 t=25487
ying xiong 	英雄	c=1 d=0.000706632 t=25487
ying yong 	应用	c=1 d=8.73093e-22 t=25487
ying yu 	英语	c=1 d=1.75999e-33 t=25487
ying zhe 	硬着	c=1 d=2.89927e-23 t=25487
ying zi 	影子	c=1 d=1.41878e-27 t=25487
yo xi 	哟细	c=1 d=2.25564e-11 t=25487
yong 	用	c=39 d=0.10069 t=25487
yong ba 	用吧	c=1 d=0.000144823 t=25487
yong dao 	用到	c=1 d=1.09057e-20 t=25487
yong de 	用的	c=6 d=1.43802e-09 t=25487
yong ge 	用个	c=1 d=1.27384e-24 t=25487
yong guo 	用过	c=1 d=2.14447e-34 t=25487
yong hu 	拥护	c=1 d=3.28697e-29 t=25487
yong hu 	用户	c=6 d=0.0167392 t=25487
yong hu ming 	用户名	c=3 d=5.94466e-49 t=25487
yong jiu 	永久	c=1 d=2.87481e-41 t=25487
yong le 	用了	c=4 d=6.93007e-10 t=25487
yong ni 	用你	c=0 d=6.48476e-24 t=25487
yong ni de 	用你的	c=1 d=6.51728e-23 t=25487
yong ta 	用它	c=1 d=2.92433e-36 t=25487
yong wang 	用网	c=1 d=4.18497e-47 t=25487
yong yong 	用用	c=1 d=1.88075e-49 t=25487
yong yu 	用于	c=2 d=0.00716303 t=25487
yong yuan 	永远	c=1 d=8.92398e-44 t=25487
yong zai 	用在	c=1 d=1.44292e-49 t=25487
yong zhe ge 	用这个	c=1 d=3.22738e-49 t=25487
you 	又	c=18 d=0.119433 t=25487
you 	尤	c=0 d=9.16736e-38 t=25487
you 	有	c=126 d=0.827112 t=25487
you 	油	c=2 d=1.02643e-05 t=25487
you 	由	c=4 d=0.000587285 t=25487
you a 	有啊	c=2 d=1.46772e-36 t=25487
you ai you hen 	又爱又恨	c=1 d=2.09117e-32 t=25487
you bian 	右边	c=2 d=6.04005e-32 t=25487
you bing 	有病	c=1 d=2.7818e-07 t=25487
you bu shi 	又不是	c=3 d=1.76917e-06 t=25487
you ce 	右侧	c=1 d=8.10559e-30 t=25487
you cha 	有茶	c=1 d=9.05299e-07 t=25487
you ci 	有次	c=1 d=0.181773 t=25487
you dai 	有待	c=1 d=1.43998e-25 t=25487
you dao 	又到	c=1 d=7.9532e-42 t=25487
you de 	有的	c=4 d=1.26225e-34 t=25487
you dian 	有点	c=10 d=0.00623298 t=25487
you dian xiang 	有点像	c=1 d=1.87857e-06 t=25487
you dian xiao 	有点小	c=1 d=2.85212e-36 t=25487
you gai 	又改	c=0 d=6.65005e-26 t=25487
you gai le 	又改了	c=1 d=6.68342e-25 t=25487
you ge 	有个	c=11 d=0.00244231 t=25487
you ge ren 	有个人	c=1 d=1.80491e-06 t=25487
you guan 	有关	c=4 d=2.17806e-11 t=25487
you guan 	油管	c=1 d=1.46677e-36 t=25487
you guan xi 	有关系	c=1 d=5.90832e-16 t=25487
you hong 	又红	c=1 d=0.0409666 t=25487
you hua 	优化	c=0 d=9.72265e-24 t=25487
you hua yuan ze 	优化原则	c=1 d=9.77136e-23 t=25487
you jian 	右键	c=1 d=6.11439e-37 t=25487
you jian 	邮件	c=8 d=2.31794e-08 t=25487
you jin 	又进	c=1 d=0.22091 t=25487
you ke neng 	有可能	c=4 d=4.67253e-20 t=25487
you kong 	有空	c=3 d=1.4639e-13 t=25487
you lai 	由来	c=1 d=7.7129e-34 t=25487
you lao 	有劳	c=1 d=1.48282e-17 t=25487
you li 	有利	c=1 d=8.70069e-40 t=25487
you li 	有理	c=1 d=1.36765e-07 t=25487
you li yu 	有利于	c=2 d=3.95792e-16 t=25487
you ma 	有吗	c=9 d=0.0746533 t=25487
you mai 	莜麦	c=3 d=2.71086e-25 t=25487
you mei you 	有没有	c=15 d=2.40317e-08 t=25487
you ming 	有名	c=1 d=5.93371e-37 t=25487
you na xie 	有那些	c=1 d=3.05632e-26 t=25487
you ni 	有你	c=1 d=2.57456e-08 t=25487
you ni 	油腻	c=1 d=9.07459e-35 t=25487
you pan 	优盘	c=1 d=0.018043 t=25487
you pian 	有篇	c=1 d=1.04365e-32 t=25487
you qi 	尤其	c=2 d=0.000721419 t=25487
you qi shi 	尤其是	c=2 d=6.34859e-38 t=25487
you qian 	有钱	c=3 d=5.42334e-08 t=25487
you qing 	有请	c=1 d=7.7529e-36 t=25487
you que dian 	优缺点	c=1 d=4.71052e-27 t=25487
you ren 	有人	c=6 d=0.309601 t=25487
you san jie 	尤三姐	c=1 d=9.21329e-37 t=25487
you sha 	有啥	c=2 d=2.35586e-05 t=25487
you shen me 	有什么	c=2 d=4.84737e-11 t=25487
you shi 	优势	c=1 d=1.31922e-24 t=25487
you shi 	又是	c=3 d=4.73911e-14 t=25487
you shi 	有事	c=2 d=2.22433e-23 t=25487
you si ge 	有四个	c=1 d=1.49355e-43 t=25487
you suo 	有所	c=1 d=3.34177e-47 t=25487
you tiao jian 	有条件	c=1 d=1.12804e-35 t=25487
